folio,uri
092v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f192
093r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f193
093v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f194
094v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f196
095v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f198
096r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f199
096v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f200
106r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f219
106v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f220
107r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f221
107v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f222
108r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f223
108v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f224
109r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f225
109v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f226
110r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f227
110v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f228
111r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f229
111v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f230
112r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f231
113v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f234
114r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f235
114v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f236
115r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f237
115v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f238
116r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f239
116v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f240
117r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f241
117v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f242
118r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f243
119v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f246
120r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f247
120v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f248
121r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f249
121v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f250
122r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f251
122v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f252
123r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f253
123v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f254
124r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f255
124v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f256
125v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f258
126r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f259
126v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f260
127r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f261
127v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f262
128r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f263
129r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f265
129v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f266
130r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f267
130v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f268
131r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f269
131v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f270
132r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f271
132v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f272
133r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f273
133v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f274
134r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f275
134v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f276
135r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f277
135v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f278
136r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f279
136v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f280
137r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f281
137v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f282
138r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f283
139r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f285
139v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f286
140r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f287
140v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f288
141r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f289
141v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f290
142r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f291
142v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f292
143r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f293
143v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f294
144r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f295
144v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f296
145r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f297
145v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f298
146r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f299
146v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f300
147r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f301
147v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f302
148r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f303
148v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f306
