folio,uri
110r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f223
109v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f222
109r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f221
108v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f220
112r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f227
111v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f226
111r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f225
110v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f224
168v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f340
169r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f341
113r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f229
112v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f228
170v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f344
171r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f345
171v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f346
172r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f347
203r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f409
202v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f408
200r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f403
199v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f402
199r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f401
198v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f400
202r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f407
201v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f406
201r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f405
200v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f404
172v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f348
173r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f349
078v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f160
079r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f161
079v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f162
080r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f163
080v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f164
081r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f165
081v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f166
082r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f167
082v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f168
083r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f169
169v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f342
170r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f343
150v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f304
151r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f305
151v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f306
152r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f307
148v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f300
149r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f301
149v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f302
150r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f303
152v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f308
153r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f309
022v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f48
023r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f49
021v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f46
022r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f47
020v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f44
021r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f45
019v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f42
020r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f43
018v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f40
019r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f41
184r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f371
183v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f370
185r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f373
184v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f372
186r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f375
185v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f374
187r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f377
186v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f376
188r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f379
187v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f378
137v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f278
138r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f279
133v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f270
134r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f271
134v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f272
135r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f273
135v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f274
136r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f275
136v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f276
137r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f277
141r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f285
140v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f284
142r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f287
141v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f286
139r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f281
138v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f280
140r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f283
139v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f282
143r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f289
142v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f288
223v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f450
224r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f451
224v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f452
225r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f453
225v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f454
226r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f455
226v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f456
227r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f457
227v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f458
228r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f459
062v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f128
063r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f129
060v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f124
061r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f125
061v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f126
062r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f127
058v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f120
038v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f80
059v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f122
060r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f123
039r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f81
078r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f159
077v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f158
074r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f151
073v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f150
075r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f153
074v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f152
076r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f155
042v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f88
077r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f157
076v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f156
043r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f89
115v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f234
116r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f235
116v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f236
117r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f237
113v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f230
114r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f231
114v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f232
115r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f233
166r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f335
165v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f334
167r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f337
166v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f336
117v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f238
163v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f330
165r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f333
164v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f332
192v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f388
193r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f389
119r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f241
118v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f240
120r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f243
119v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f242
121r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f245
120v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f244
122r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f247
121v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f246
123r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f249
122v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f248
240r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f483
239v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f482
239r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f481
238v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f480
241v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f486
241r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f485
240v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f484
189v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f382
190r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f383
207v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f418
208r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f419
205v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f414
206r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f415
206v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f416
207r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f417
203v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f410
204r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f411
204v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f412
205r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f413
233r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f469
232v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f468
229r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f461
228v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f460
230r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f463
229v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f462
231r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f465
230v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f464
232r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f467
231v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f466
056r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f115
055v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f114
057r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f117
056v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f116
054r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f111
053v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f110
055r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f113
054v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f112
058r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f119
057v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f118
024r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f51
023v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f50
025r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f53
024v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f52
026r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f55
025v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f54
027r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f57
026v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f56
028r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f59
027v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f58
059r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f121
179v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f362
180r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f363
178v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f360
179r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f361
181v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f366
182r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f367
180v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f364
181r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f365
182v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f368
183r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f369
103r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f209
102v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f208
101r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f205
100v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f204
102r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f207
101v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f206
099r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f201
098v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f200
100r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f203
099v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f202
146v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f296
147r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f297
145v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f294
146r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f295
144v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f292
145r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f293
143v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f290
144r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f291
147v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f298
148r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f299
211r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f425
210v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f424
212r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f427
211v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f426
209r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f421
208v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f420
210r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f423
209v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f422
213r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f429
212v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f428
159r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f321
039v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f82
040r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f83
072v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f148
073r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f149
041v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f86
042r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f87
040v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f84
041r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f85
069v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f142
070r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f143
068v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f140
069r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f141
071v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f146
072r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f147
070v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f144
071r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f145
008r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f19
007v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f18
006r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f15
005v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f14
007r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f17
006v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f16
004r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f11
003v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f10
005r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f13
004v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f12
162v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f328
163r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f329
161v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f326
162r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f327
160v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f324
161r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f325
159v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f322
160r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f323
158v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f320
075v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f154
032v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f68
033r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f69
028v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f60
029r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f61
029v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f62
030r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f63
030v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f64
031r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f65
031v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f66
032r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f67
124v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f252
125r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f253
123v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f250
124r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f251
126v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f256
127r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f257
125v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f254
126r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f255
195r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f393
194v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f392
127v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f258
128r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f259
197r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f397
196v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f396
196r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f395
195v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f394
198r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f399
197v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f398
194r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f391
193v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f390
098r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f199
097v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f198
096r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f195
095v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f194
097r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f197
096v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f196
094r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f191
093v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f190
095r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f193
094v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f192
237v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f478
220v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f444
234v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f472
235r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f473
233v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f470
234r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f471
236v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f476
237r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f477
235v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f474
236r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f475
051v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f106
052r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f107
050v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f104
051r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f105
049v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f102
050r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f103
048v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f100
049r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f101
052v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f108
053r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f109
001r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f5
002r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f7
001v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f6
003r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f9
002v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f8
010v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f24
011r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f25
011v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f26
012r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f27
008v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f20
009r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f21
009v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f22
010r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f23
012v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f28
013r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f29
177r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f357
176v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f356
176r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f355
175v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f354
175r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f353
