folio,uri
214r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_214r.jp2
193v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_193v.jp2
121r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_121r.jp2
220v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_220v.jp2
235v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_235v.jp2
171r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_171r.jp2
249v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_249v.jp2
226r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_226r.jp2
245w,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_245ar.jp2
100v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_100v.jp2
229v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_229v.jp2
267r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_267r.jp2
169r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_169r.jp2
208v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_208v.jp2
259v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_259v.jp2
251v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_251v.jp2
175v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_175v.jp2
149v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_149v.jp2
152r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_152r.jp2
193r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_193r.jp2
212v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_212v.jp2
143r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_143r.jp2
188v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_188v.jp2
260r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_260r.jp2
217r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_217r.jp2
164v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_164v.jp2
183v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_183v.jp2
265r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_265r.jp2
228v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_228v.jp2
247r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_247r.jp2
216v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_216v.jp2
166r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_166r.jp2
224v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_224v.jp2
111r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_111r.jp2
264r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_264r.jp2
145v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_145v.jp2
161r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_161r.jp2
129r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_129r.jp2
225v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_225v.jp2
248r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_248r.jp2
166v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_166v.jp2
226v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_226v.jp2
168v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_168v.jp2
239v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_239v.jp2
242r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_242r.jp2
119r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_119r.jp2
214v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_214v.jp2
167v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_167v.jp2
155r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_155r.jp2
120r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_120r.jp2
176v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_176v.jp2
233r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_233r.jp2
275v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_275v.jp2
146x,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_146av.jp2
215v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_215v.jp2
231v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_231v.jp2
167r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_167r.jp2
179v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_179v.jp2
280r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_280r.jp2
201v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_201v.jp2
253v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_253v.jp2
173r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_173r.jp2
144v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_144v.jp2
106w,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_106ar.jp2
244v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_244v.jp2
261v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_261v.jp2
146r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_146r.jp2
173v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_173v.jp2
204r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_204r.jp2
227r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_227r.jp2
260v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_260v.jp2
