folio,uri
087r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_087r.jp2
129r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_129r.jp2
225v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_225v.jp2
040v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_040v.jp2
248r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_248r.jp2
166v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_166v.jp2
226v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_226v.jp2
168v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_168v.jp2
239v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_239v.jp2
242r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_242r.jp2
081v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_081v.jp2
119r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_119r.jp2
052v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_052v.jp2
017v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_017v.jp2
214v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_214v.jp2
167v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_167v.jp2
155r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_155r.jp2
015r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_015r.jp2
025v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_025v.jp2
082r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_082r.jp2
092r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_092r.jp2
120r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_120r.jp2
176v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_176v.jp2
233r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_233r.jp2
275v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_275v.jp2
146x,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_146av.jp2
215v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_215v.jp2
231v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_231v.jp2
167r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_167r.jp2
179v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_179v.jp2
280r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_280r.jp2
201v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_201v.jp2
055r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_055r.jp2
253v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_253v.jp2
173r,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_173r.jp2
144v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_144v.jp2
106w,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_106ar.jp2
244v,https://www.e-codices.unifr.ch/loris/sbe/sbe-0611/sbe-0611_244v.jp2
