folio,uri
042,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_042.jp2
069,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_069.jp2
180,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_180.jp2
165,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_165.jp2
167,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_167.jp2
146,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_146.jp2
016,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_016.jp2
076,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_076.jp2
134,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_134.jp2
033,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_033.jp2
133,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_133.jp2
118,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_118.jp2
145,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_145.jp2
049,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_049.jp2
094,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_094.jp2
142,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_142.jp2
120,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_120.jp2
061,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_061.jp2
056,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_056.jp2
099,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_099.jp2
139,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_139.jp2
119,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_119.jp2
090,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_090.jp2
175,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_175.jp2
009,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_009.jp2
051,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_051.jp2
065,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_065.jp2
143,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_143.jp2
045,https://www.e-codices.unifr.ch/loris/csg/csg-0390/csg-0390_045.jp2
