folio,uri
112r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f223
111v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f222
111r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f221
110v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f220
114r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f227
113v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f226
113r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f225
112v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f224
170v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f340
171r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f341
115r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f229
114v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f228
172v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f344
173r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f345
173v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f346
174r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f347
205r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f409
204v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f408
202r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f403
201v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f402
201r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f401
200v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f400
204r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f407
203v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f406
203r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f405
202v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f404
174v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f348
175r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f349
080v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z/f160
