folio,uri
299v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f606
185v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f378
186r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f379
300r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f607
182v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f372
183r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f373
181v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f370
182r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f371
184v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f376
185r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f377
183v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f374
184r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f375
523r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f1055
524r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f1057
299r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f605
521v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f1052
081v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f170
296v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f600
409r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f827
297r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f601
320r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f647
471r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f951
048r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f103
049r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f105
048v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f104
050r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f107
550v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f1110
318v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f644
480v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f970
481r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f971
352r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f711
422r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f853
421v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f852
421r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f851
420v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f850
424r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f857
423v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f856
423r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f855
422v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f854
425r,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f859
424v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f858
484v,https://gallica.bnf.fr/iiif/ark:/12148/btv1b8447768b/f978
