Punctum Simple,pun
Quilismatorculus resupinus Simple,tor.quil.res.3
Quilismatorculus resupinus Episema,tor.quil.res.3.e
Quilismatorculus resupinus Episema,tor.quil.res.2.e
Quilisma-torculus Clivis Simple,tor.quil.cli
Pressus minor Simple,press.min
Torculus with Pressus minor Simple,tor.press.min 
Doppelclivis with Pressus minor Simple,dub.cli.press.min
Virga that was corrected,vir.cor
Tractulus that was corrected,trac.cor
,
