pagen,neume,id,ulx,uly,lrx,lry
15,Letter S,m-1b8ce288-4b80-4087-97d9-9b4504808b1c,2254,5884,2302,5935
15,Oriscus Oriscus in Salicus b,m-3adbad1b-1966-4bd3-a282-cee561b576cb,2273,5961,2311,5994
15,Virga strata (or with Punktum: Pressus maior) Simple,m-50bfb9b5-862d-46d9-b633-61a05e0f425a,2807,5954,2886,6032
15,Torculus Episema a,m-6362ebe7-ea31-4cb5-bc71-7515c06ddd29,2956,5971,3030,6029
15,Virga Episema,m-7d101751-6b58-47ef-8597-26d5b8e67867,3053,5960,3116,6035
15,Quilismapes subbipunctis (with Punctum-components) Quilismapes sub.-teil two,m-9a70f5f7-3aca-488c-b577-41a3e688b2e0,4564,5974,4668,6045
15,Pes Rotundus,m-de4a1714-5284-46c2-ae4d-d1bd4833d31c,3979,5624,4048,5688
15,Quilismatorculus Simple three,m-f877d16a-3dba-4408-ba84-e958d968948d,4000,5945,4117,6022
15,Pes Quadratus,m-d1928edf-ba79-4e07-a9dd-61f6343264db,867,5936,956,6013
15,Letter C,m-4cc1feaa-e83b-4d55-9e3d-b3041bf7300a,998,6252,1026,6283
15,Quilismatorculus Simple three,m-73382b22-fd08-44f6-8241-dff3f74ef7d4,1208,6286,1326,6364
15,Letter T,m-dbb85370-2430-4e1c-9814-c86538544b21,1329,6241,1400,6273
15,Clivis Simple,m-d6e0f554-55b3-4f1b-a56d-dfda31a6be7f,1335,6284,1381,6340
15,Tractulus Simple,m-3076ef08-d6db-4be6-a434-e807adf4061f,1747,6018,1768,6030
15,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-239bb0a2-77c2-4a02-8c60-487916456d8e,1940,6012,1977,6042
15,Punctum Simple,m-e02455aa-2a76-45fa-bb2a-c6d0966d2f79,2251,6013,2271,6027
15,Letter C,m-d6d69795-8d0c-43b0-bc43-6953a37eb0bd,2441,6268,2458,6298
15,Tractulus Simple,m-457a81c6-33e0-49cc-8f92-67f3586b3ecf,2450,6023,2478,6034
15,Tractulus Simple,m-f176d9d6-9451-4bd7-a37f-91adee7a5744,2876,5984,2908,5997
15,Tractulus Simple,m-8bba6690-805e-4969-8999-d381be1b197d,3089,6002,3121,6015
15,Tractulus Simple,m-8e103e5c-2654-4d0d-a1e8-dd9dd3c21751,3849,6061,3882,6072
15,Tractulus Simple,m-e8350762-5dfd-4a25-a68c-2b75f01be707,3855,6039,3876,6048
15,Quilismapes Simple three,m-9a48581d-c22a-4c9d-8be7-5cbcd9fc27db,4107,6282,4177,6309
15,Clivis Simple,m-39088238-b41d-4d32-8569-76aa011a7a28,4176,6032,4217,6087
