pagen,neume,id,ulx,uly,lrx,lry
15,Tractulus Simple,m-520777f8-6f5f-4da8-9b24-ae7e4d853663,2450,6023,2478,6034
15,Virga strata (or with Punktum: Pressus maior) Simple,m-a06b215b-fef7-40aa-85eb-e5865d55701a,2807,5954,2886,6032
15,Tractulus Simple,m-01d9c4ac-f776-46dd-b7fa-52cc4b467399,2876,5984,2908,5997
15,Tractulus Simple,m-18714f3b-955c-4e49-ad2e-64987a52f3b1,3004,6024,3040,6035
15,Virga Episema,m-d1411513-9cee-418b-b27c-af0bf8707e83,3053,5960,3116,6035
15,Quilismatorculus resupinus Simple,m-fafb03a4-2d33-436d-9c9d-d42e0c8853a6,3158,5933,3300,6013
15,Virga Episema,m-22091a48-9195-4bd8-a04a-dac7d29618bd,3629,6011,3649,6034
15,Quilismatorculus Episema three,m-a0dcc61f-e4d2-41bb-a55b-a37f3130b1e5,3686,5905,3834,5995
15,Tractulus Simple,m-bcfbac35-7b43-4050-884c-89dc5cbf3535,3849,6061,3882,6072
15,Tractulus Simple,m-cf749063-c84e-4866-a199-5c0ca30d06be,3855,6039,3876,6048
15,Torculus Simple,m-1da218fa-433d-499a-be45-570b8e5ad4c9,4131,5923,4199,5978
15,Letter C,m-3f6a7bee-2002-4f33-8f65-6898ea864b21,4224,5988,4245,6013
15,Virga strata (or with Punktum: Pressus maior) Simple,m-0da96dd9-ea0c-42aa-a0a0-7e6e1366a199,4276,6024,4334,6073
15,Tractulus Simple,m-7d0728f3-eada-486f-9df8-456bef9ea364,4320,6054,4343,6064
15,Letter T,m-e55c0866-ec23-4863-b273-dd6c10d320e8,4328,5987,4365,6018
15,Clivis Episema c,m-1464a738-7f4f-40da-a151-affc4ba56a8b,4590,6067,4655,6126
15,Punctum Simple,m-cdb4c90a-0388-477d-91f4-26ba63d2fa9f,4648,6010,4661,6023
15,Virga Simple,m-20baaf9b-ace2-42c9-9b98-6843302343c2,4716,5994,4748,6026
15,Letter S,m-6772a1fb-4d11-4d96-9e4c-9f84d0fc289e,4819,5976,4865,6035
15,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-00ce0861-0988-4709-a5b7-f8cc7d9b8005,4860,6012,4883,6048
15,Virga Episema,m-0daf2c58-3436-40dc-a431-fda2f98078a8,1239,5942,1300,6006
15,Tractulus Simple,m-fe2cf929-d2c4-4c7e-9ba5-e12454b833a2,1267,5986,1304,6000
15,Tractulus Simple,m-1273234f-f461-4e39-8a98-7fc131eda626,1272,6006,1310,6022
15,Quilismatorculus Simple three,m-e47dcdbf-d878-47b8-b39d-29a24d3a2f36,1798,5948,1924,6029
15,Oriscus Oriscus in Salicus b,m-261b81fc-43b4-4f83-99b0-0e0d7bb5927e,2273,5961,2311,5994
15,Letter T,m-aca9b156-e904-4cb1-96cd-50f4d010ce58,2848,5910,2913,5941
15,Tractulus Simple,m-afdaf62b-f843-4c4c-96ac-ab8ce1083145,3089,6002,3121,6015
15,Clivis Episema c,m-83f3e0fe-630e-4d9d-8a99-d81bcdda33aa,3298,5996,3369,6069
15,Virga Episema,m-151bbef1-08cb-4628-9194-e19b8ed99a8a,3940,6014,3984,6069
15,Quilismatorculus Simple three,m-8a22c78e-d1c2-4145-84b9-93de93191510,4000,5945,4117,6022
15,Clivis Simple,m-779512e8-9861-4497-8c3d-9a1cd784e5a7,4176,6032,4217,6087
15,Clivis Episema c,m-0f7f62c2-4039-45f7-9f1c-357be668f5c2,4534,5984,4567,6041
15,Punctum Simple,m-bd391706-f23d-4c56-beca-4772dd008674,4660,6033,4680,6050
15,Pes Quadratus,m-7ef61279-4e65-4325-84ae-db5235997e17,867,5936,956,6013
15,Tractulus Simple,m-b78ffe33-4126-4d61-87b8-6d882dd76876,1184,5991,1219,6001
15,Torculus Episema a,m-a514c7d1-6fc6-4555-ad4f-91ee500ce57e,2956,5971,3030,6029
15,Virga Episema,m-2a98bd8b-a28f-4576-bc36-3b7f802c2996,3647,5981,3675,6011
15,Pes Quadratus Episema,m-15d37ba8-7bfc-43b8-b7ed-b7f0829aa2f0,3786,5993,3881,6070
15,Quilismapes subbipunctis (with Punctum-components) Quilismapes sub.-teil two,m-ce1645df-12c3-4109-abc3-e4d6e6b5dfd4,4564,5974,4668,6045
15,Tractulus Simple,m-85957958-075f-4ba4-91f4-aa6ebe4086b8,3094,6024,3134,6038
15,Torculus Episema a,m-d9eef02d-86c9-4a0d-a6d9-7e377e5662a8,997,6305,1054,6360
15,Letter C,m-259f1f8c-4513-45b8-a24e-65696bd48573,998,6252,1026,6283
15,Tractulus Simple,m-621ea866-0d6c-41f1-a419-540b4b226251,1161,6368,1190,6383
15,Clivis Simple,m-db2491c4-0105-41fa-8dd5-ba72a654bdbc,1335,6284,1381,6340
15,Letter I,m-ed3dd6b3-ca56-4a34-9a48-7af9a8acaa80,1498,6361,1520,6390
15,Tractulus Simple,m-9172b530-f1e0-48c1-a2c4-04e12e2df880,1552,6360,1583,6374
15,Clivis Simple,m-82fbedd9-4518-43a6-aab2-002df7fdaa43,2385,6318,2430,6373
15,Letter C,m-2741a68e-038c-4bee-b762-2ca7a800e40f,2441,6268,2458,6298
15,Pes Rotundus,m-61b81af9-95b9-42b8-9893-c2c9a5482f2a,2688,6294,2769,6361
15,Clivis Episema c,m-3a826d41-438e-47c6-9e59-b56cbf99dbb8,3023,6313,3074,6376
15,Tractulus Simple,m-fa3ca6e9-e8b6-4739-9224-f5168a3e5c1b,3143,6370,3183,6385
15,Tractulus Simple,m-5a594430-34ba-44b8-8010-05ee80a021b7,3240,6345,3279,6366
15,Tractulus Simple,m-2d8645f3-2a9a-4695-9bee-baab30c39608,3247,6375,3284,6390
15,Virga Episema,m-ada355d8-9176-4715-9913-05ce49b9ea7b,3305,6306,3348,6363
15,Torculus gedreht a (nicht kurrent),m-24132939-1c2f-4ecd-b0a6-5908b18abcf5,3382,6287,3460,6346
15,Letter C,m-4d32bdec-d4f6-4de7-baaf-e22a661d7bda,3686,6299,3717,6336
15,Virga Simple,m-41ad52de-317a-4824-b337-222a66da9c0a,3824,6313,3886,6365
15,Virga Episema,m-6a1a9999-739a-4bde-95f1-90b6f8ef5a0c,4073,6299,4092,6316
15,Quilismapes Simple three,m-c4af1e88-5ee3-4fa4-930c-945dbab8cd1b,4107,6282,4177,6309
15,Clivis Episema c,m-35b2b57d-f7d5-4b5a-b885-832b165e6570,4269,6306,4306,6341
15,Clivis Episema a,m-96f009f3-f154-4e1f-9b78-aab2edf3d394,4448,6317,4476,6372
15,Tractulus Simple,m-96420aac-b5ff-4ee4-9f3d-a41c3446a38b,4640,6390,4673,6403
15,Punctum Simple,m-83b6e535-1275-4efc-86d4-0928a577d158,4887,6322,4898,6335
15,Punctum Simple,m-a2ff4165-f1bd-46c7-b368-48c6c29974be,4902,6346,4916,6360
15,Clivis Episema c,m-d0531b64-0586-4f87-865e-9637f6ae2352,838,6291,904,6359
15,Torculus gedreht a (nicht kurrent),m-045cb631-78b9-477c-85b0-3bfc92e162a5,1385,6272,1469,6333
15,Virga Simple,m-add06f5a-7d4e-4ff4-bcca-e4dfdaa6c0c9,1734,6328,1790,6382
15,Virga Simple,m-426694d7-846d-4804-8839-b65c3ad0221d,1821,6314,1883,6371
15,Virga Simple,m-3e843953-c9d5-47a2-a15d-c89dd33535f8,2834,6318,2890,6378
15,Pes Quadratus Episema,m-42a2718b-105f-4abf-ad21-248326a28eab,3084,6297,3181,6375
15,Tractulus Simple,m-a0a1e0b7-4013-40f3-acf0-7483c5473b03,3144,6345,3178,6360
15,Virga Episema,m-8c55a13b-9e29-4b0a-aef7-7a8c2ee5a4cd,3209,6307,3267,6377
15,Tractulus Simple,m-82b0f92c-dd45-4d7c-87d6-d9be6d51a668,3328,6338,3359,6361
15,Tractulus Simple,m-cff20b65-05ce-45a5-85fc-4134a6ed5b8b,3338,6367,3370,6384
15,Letter I,m-cbf0b676-d1b4-4aaa-af88-30f90ab94eb0,3583,6366,3600,6389
15,Virga Episema,m-1fdbca29-c8af-4d0e-be3e-824f97f0a20c,4888,6282,4905,6298
15,Tractulus Simple,m-3906c54e-49a3-400d-bf5c-18ac1c60aae4,1144,6389,1174,6403
15,Quilismatorculus Simple three,m-e1ec818d-7dba-403f-b523-40500987f643,1208,6286,1326,6364
15,Letter T,m-32869e2c-0d1b-4bb4-b7af-93637087e0cd,1329,6241,1400,6273
15,Torculus Simple,m-47450813-f4cc-48a2-b0b1-b8ce9d78e0fd,2193,6310,2262,6370
15,Virga Episema,m-932899ca-0954-4393-bfec-552616106b80,4486,6306,4541,6371
15,Clivis Episema c,m-7aa6e1f5-7dd9-41e9-ae34-88c96658389f,4966,6288,4986,6319
15,Porrectus Simple,m-b3aeb3ea-a98f-4024-a4cf-82777474520b,2039,6294,2132,6358
15,Virga Simple,m-46b0c970-5491-4ca5-8616-e8703437061f,2549,6317,2587,6352
15,Punctum Simple,m-895a0bd6-be7a-4e84-8cbf-c20412c85f11,4534,6367,4552,6383
15,Quilismatorculus Episema three,m-3af94d0a-fb51-490f-ab6b-9be78986f389,4702,6272,4835,6366
15,Clivis Simple,m-1fb43852-fa53-491a-94a7-b954759fac93,3624,6347,3671,6400
16,Virga Simple,m-dcc32282-766d-4fba-9cb2-32a432df9125,1462,712,1509,755
16,Virga Episema,m-23978832-2a5a-4b8d-ac79-0325416aa81b,1673,679,1731,751
16,Tractulus Simple,m-3ec28709-b618-4d8c-b8e1-ecf59fda570a,1812,721,1842,737
16,Clivis Simple,m-db17a420-3dff-4592-9c9e-571fbfb6c056,1989,694,2041,753
16,Pes Quassus,m-02af9514-cc66-4b6e-9647-d708554f1e7f,2063,673,2155,753
16,Virga Simple,m-3aabb65d-6cb7-4a5d-b5c8-0d3f7938cca8,2153,744,2203,795
16,Pes Rotundus,m-cc08e75d-ba67-4eaa-9d52-cfa2a3fda586,2316,714,2396,784
16,Torculus resupinus (RE) Episema a,m-ab3e0bde-c46d-4cfe-8461-8587e4d5257d,2461,681,2589,783
16,Tractulus Simple,m-b9379d41-a7ad-4dc3-9b06-23abc3ed29f7,2557,775,2589,790
16,Tractulus Simple,m-672e6f63-d63d-452a-9dd7-111975556a69,2577,749,2604,765
16,Virga Episema,m-deadd2c7-527d-46e7-9331-6488fcf59235,2615,664,2671,734
16,Tractulus Episema,m-152eb8b2-4d0a-4b42-bc75-7366bad71688,2647,694,2681,718
16,Tractulus Episema,m-4f351660-ae9c-4237-baa9-ce49c3794bb6,2655,718,2691,741
16,Virga Episema,m-153170ed-7fba-4616-a172-f13d71ce2494,2722,655,2789,729
16,Tractulus Simple,m-5b35017a-8a4c-4ff0-aed4-e529c26fd048,2760,700,2782,712
16,Tractulus Episema,m-2201aaa0-05bc-43d0-92a5-b5946d0308a8,2768,712,2806,734
16,Virga Episema,m-c8d9ee65-4baf-4213-b191-92e3b9628693,2850,669,2905,742
16,Virga strata (or with Punktum: Pressus maior) Simple,m-b6f1b347-b5eb-4a69-bd9d-fefdaff4bf49,2896,670,2956,747
16,Punctum Simple,m-49090f88-262c-4bc9-817d-380a40d07c26,2960,690,2979,707
16,Virga Simple,m-c2b3b074-7e58-433a-adf4-054278b4a229,1531,1067,1582,1122
16,Quilismapes Episema three,m-5dec41ef-7fbc-4a31-807c-4a09a84d1961,1602,988,1723,1069
16,Pes Quadratus,m-c6fdad16-73f3-45fd-825f-5f347b020f41,1640,1103,1725,1173
16,Punctum Simple,m-4ea13cc7-0a90-4521-8cdc-ca544cb32c61,1690,1035,1704,1051
16,Punctum Simple,m-5e93b515-76be-4270-9956-aca5f0ad78a5,1704,1059,1723,1076
16,Virga strata (or with Punktum: Pressus maior) Simple,m-fe37c9ae-fb70-4a4a-81d2-fec67cf045c7,1704,1104,1772,1178
16,Punctum Simple,m-6aa7c0d3-f4c7-475d-baff-7471b2b8d886,1770,1126,1788,1143
16,Tractulus Simple,m-fe98cce1-f833-4118-b978-1c873cc3eb5d,1874,1127,1905,1140
16,Pes Rotundus,m-d643b160-542b-43c1-b6b3-8e202aa61510,2062,1067,2131,1134
16,Tractulus Simple,m-681b1253-13c9-4cb3-be3f-39fac0bbd208,2355,1107,2386,1121
16,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-d11de3a1-28e7-4fa5-b3fe-648bfc472e23,2483,1068,2537,1141
16,Pes Rotundus,m-b32cecfd-ca05-4a96-a014-16acaf8abd8b,2753,1045,2824,1108
16,Virga Simple,m-5c9e92a4-6956-4bb7-bc02-3ce0369e484b,2819,1049,2872,1106
16,Virga Simple,m-7a8f5644-2166-446a-a888-444d7b8a8611,2950,1050,2997,1104
16,Virga Episema,m-4c0dee36-729c-4335-a960-f0e16be53b3c,3102,1041,3145,1101
16,Quilismatorculus Episema three,m-4dae5b60-0328-4b16-b96e-fe6262ecae9f,3165,953,3290,1048
16,Clivis Episema c,m-68cc09c6-bf60-4c87-8918-74722329f400,3265,1070,3322,1135
16,Pes Quadratus Episema,m-d91e7b6d-9e89-47a6-8b2a-b90b7724ff35,3504,1061,3586,1137
16,Virga strata (or with Punktum: Pressus maior) Simple,m-b78ce321-1944-472e-9772-1a44e3659b17,3595,1063,3631,1085
16,Punctum Simple,m-47445292-6379-448f-ade9-b88add8bb188,3625,1084,3643,1102
16,Torculus Simple,m-2293b7eb-3ea6-407f-8b22-f29db76d6108,3705,1071,3778,1127
16,Virga Simple,m-169f7390-0c92-4822-aa51-66365f510f5d,3811,1077,3860,1131
16,Pes Rotundus,m-5686a256-39ad-49b5-9ea1-c61cab0552aa,3973,1054,4051,1120
16,Tractulus Simple,m-f2839ffc-9ee0-4c13-a2ce-00043bc8b137,4161,1105,4187,1117
16,Torculus Episema c,m-9424a295-47de-43e9-973f-a8e5106effa1,4453,1041,4544,1115
16,Virga Episema,m-6f5ec171-1c2c-46b3-991c-a481ae249fb9,4581,1015,4608,1048
16,Punctum Simple,m-b0961bca-b64e-4ba1-9c3e-d3a46a3d221b,4582,1064,4596,1079
16,Punctum Simple,m-f6c0c935-98b6-45c3-8501-f976b474cbfd,4603,1083,4624,1100
16,Clivis Simple,m-f4385743-30b6-4374-a37c-d01ded3b6a5d,4655,1127,4703,1183
16,Quilismatorculus Simple three,m-dfa5b4aa-658a-4258-9b63-d4d8499c64f4,4892,1065,5008,1137
16,Torculus Simple,m-8194c138-8329-47a1-a875-8b9f7c017886,5031,1047,5097,1099
16,Clivis Episema c,m-eb7cb8cd-5585-4b4c-a93c-36a66907374d,5045,1118,5103,1179
16,Liquescent Quilismatorculus resupinus aug. Simple two,m-f7f1c8cf-414e-4fe1-a60b-fbfdd9c1649a,5107,1075,5253,1167
16,Virga Episema,m-fa8b98aa-7ea4-4dd9-8e1f-fb39f2687a34,5230,1123,5289,1191
16,Clivis Episema c,m-003656bf-172b-49e8-94c2-45be93e13e88,5324,1149,5387,1208
16,Pes Rotundus,m-634c8615-c78f-4b58-bc08-5ca330d39b60,2646,1048,2718,1119
16,Tractulus Simple,m-84599ff8-86a5-4b7a-adae-dc71fbcff995,4847,1125,4877,1138
16,Punctum Simple,m-ae17eebd-0e2c-4f96-b4d7-e6fc708569bd,5269,1164,5284,1184
16,Punctum Simple,m-09e6228f-279f-4b92-8684-cdbc3a8dfe2f,5285,1188,5301,1203
16,Virga Simple,m-b8e72389-64a5-43ed-ada9-96fc9786d6ee,1537,1419,1598,1476
16,Virga Simple,m-c805e739-15b9-43f1-ac1f-87dfd704b371,1698,1400,1753,1447
16,Quilismapes Episema three,m-9d98b985-4ee8-47cb-b0b3-74965e4acee7,1773,1342,1905,1412
16,Liquescent Stropha Simple,m-f3f4937b-5d31-4965-9ba8-21d57fe590fb,1856,1413,1900,1463
16,Punctum Simple,m-3f3f3630-2399-433e-bf02-c53fd3a2ea07,1872,1390,1885,1406
16,Pes Quadratus,m-71498510-ccfc-4e9b-8114-e73edb894942,1880,1444,1974,1516
16,Virga strata (or with Punktum: Pressus maior) Simple,m-b9e36731-1a40-4c58-9ee3-61598f5a7de5,1970,1452,2015,1474
16,Punctum Simple,m-2ef20364-3bf0-4a32-a246-330fb9850825,2014,1471,2032,1490
16,Virga Simple,m-421fb8bf-5f0b-4263-82fe-fd7e7d31701a,2053,1449,2105,1500
16,Virga Simple,m-eaec664c-6faa-43cd-aaf0-be95c7af7da0,2319,1429,2371,1478
16,Virga Simple,m-fe5ba457-32df-4bed-9fc3-472ca234c591,2486,1425,2544,1476
16,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-281f76b9-874c-419f-91a8-3bbe26793337,2716,1436,2747,1471
16,Tractulus Simple,m-b403e280-bd52-4646-a3d9-765c3762afbd,2963,1449,2994,1465
16,Tractulus Simple,m-3a512a09-7fd8-4d7c-baca-0747c0ba0166,3266,1451,3296,1466
16,Tractulus Simple,m-3a83368d-c2ff-4f86-a111-e4b91e702b36,3450,1452,3475,1463
16,Pes Rotundus,m-a587c5c5-bec0-4b3b-b525-bc0aac1ddd7d,3621,1397,3704,1467
16,Tractulus Simple,m-07313bf4-80f4-4584-860d-5a6d479e5a4b,3752,1445,3788,1461
16,Tractulus Simple,m-42a72c52-e76a-4606-90dc-9dec573f481e,3942,1437,3979,1453
16,Clivis Simple,m-dbf9cb3b-0a7c-494f-b529-855348db12e9,4086,1404,4134,1461
16,Pes Rotundus,m-ce035e22-efa9-401c-9749-d397bb4aaaff,4281,1393,4362,1459
16,Pes Rotundus,m-ff40f88a-91fb-4c51-9e97-4dcb13a40d91,4431,1380,4514,1450
16,Tractulus Simple,m-00a534bb-e29f-460c-acd5-9f9b5e0f6020,4669,1440,4694,1453
16,Quilismatorculus Episema three,m-d5bc0158-05ec-43a9-a737-efe6c4509c59,4710,1359,4863,1451
16,Clivis Episema c,m-8ae754ad-f097-4101-83c7-b6966d014952,4859,1445,4905,1508
16,Pes Quadratus,m-170534b5-b87a-45b6-8f39-941d541ebaa0,5205,1431,5294,1497
16,Virga strata (or with Punktum: Pressus maior) Simple,m-40d2c926-3c6e-46d0-9c3f-150d6bc8b0b4,5310,1431,5352,1455
16,Punctum Simple,m-5fd4869f-4246-40b3-b599-9f96e0ae4467,5344,1454,5364,1472
16,Torculus Simple,m-0f5e8ccb-700e-4a38-91cf-90a365b4145f,5362,1464,5426,1518
16,Virga Simple,m-5f4ea003-bb92-4a7a-8679-9df4258d1c3e,5495,1453,5552,1505
16,Virga Simple,m-809f571d-d05d-472b-a2a7-3bcc474370d0,2182,1433,2243,1487
16,Torculus Episema c,m-2e1c08b4-84f3-4ac3-8a4c-bad8e4a9d62e,1524,1722,1613,1796
16,Virga Episema,m-0aceea02-a6dc-46d2-842b-ab120649876c,1603,1716,1666,1793
16,Punctum Simple,m-1ed9e9cc-1fd3-461e-bfa6-579b38e8e56c,1639,1761,1655,1778
16,Punctum Simple,m-99d0c684-a738-4287-a08a-753c13ee99bb,1653,1787,1674,1802
16,"Liquescent Virga aug. or Clivis dim., Cephalicus Simple",m-90f5f087-0558-4213-ade1-0084012f2009,1741,1780,1791,1851
16,Tractulus Simple,m-44acffc3-9bfb-4387-9710-3caa7b319a90,2146,1800,2176,1812
16,Quilismatorculus Simple three,m-af41872d-a060-4a54-8980-22a95d957eae,2192,1728,2307,1814
16,Torculus Simple,m-ca166898-4dd4-4aa7-8fb9-c455e1530c90,2323,1717,2380,1766
16,Clivis Episema c,m-6659b6e4-ef95-49c8-b54b-e1696035837f,2401,1760,2450,1825
16,Quilismatorculus resupinus Simple,m-b56478b6-d4f1-48d0-adb5-9addbc1879dd,2442,1738,2606,1823
16,Virga Episema,m-dbdf7ed2-29e9-4c1c-811e-704aacc9f96f,2578,1778,2643,1844
16,Punctum Simple,m-185b284c-679c-40fd-9f28-2bea124f4d05,2622,1815,2636,1831
16,Clivis Episema c,m-2f8b44cb-63a3-4359-9941-56e2cc60ce4d,2677,1780,2748,1846
16,Tractulus Simple,m-10e62734-2585-42dc-9467-526190f0cd67,4257,1807,4284,1819
16,Quilismatorculus Simple three,m-286d8ca0-6fee-454a-9c7c-94760e826c2d,4297,1745,4408,1821
16,Clivis Episema c,m-a3a871c2-a2d9-4c8e-9187-e61b07ad3bcf,4371,1811,4435,1875
16,Torculus Simple,m-ab442107-e005-459e-ae91-2b880334747e,4425,1729,4484,1777
16,Quilismatorculus resupinus Simple,m-ab0cbde8-d2f7-4692-ad7d-59f772acccc1,4427,1774,4592,1864
16,Virga Episema,m-458cc814-a53d-4674-a05b-a3323c53615d,4567,1797,4629,1863
16,Punctum Simple,m-27a34d7b-4b36-44c3-a5fd-8c2d3a10375d,4607,1835,4623,1852
16,Punctum Simple,m-98064039-e7f6-4c82-afec-5f40155b03a3,4624,1857,4642,1870
16,Clivis Episema c,m-cf070694-9391-43cf-a917-02356760dbd8,4662,1803,4724,1867
16,Quilismapes Episema three,m-e373f7d1-f34b-4827-92de-999f540e66ff,1534,2028,1670,2116
16,Punctum Simple,m-90638824-eb43-4d4b-86a6-4d99c936f7b3,2639,1837,2658,1852
16,Quilismatorculus Episema three,m-5080dc81-e0dc-47b9-8769-6a86f4831985,4981,2029,5124,2126
16,Virga Simple,m-dbc97392-6fc3-40e4-891f-f09be87a9e81,1468,2108,1519,2160
16,Clivis Simple,m-3d57aa09-9363-42f9-9a77-b78ee6ae3bbe,1593,2176,1637,2232
16,Punctum Simple,m-298e1805-0f2c-4613-848e-5adf563878da,1639,2081,1653,2098
16,Liquescent Stropha Simple,m-d715d5d2-ae94-46b6-94de-92262fa4d7d2,1654,2104,1680,2126
16,Virga strata (or with Punktum: Pressus maior) Simple,m-1dda1ac2-9a79-455f-9e4e-d8f212305c2f,1815,2124,1862,2154
16,"Liquescent Punctum aug. or Pes dim., Epiphonus Simple",m-c7ec5da7-8681-49c3-a1fe-75e96962bbc4,2002,2139,2042,2172
16,Tractulus Simple,m-41e53e96-00b6-4771-b730-f34964646228,2189,2140,2222,2155
16,Tractulus Simple,m-53df7594-b50a-4f3b-9304-39707169f67e,2481,2142,2511,2157
16,Tractulus Simple,m-e6808166-05a7-4b33-9b1f-fa2ae7a4ee89,2691,2145,2719,2159
16,Tractulus Simple,m-2de4b8cd-da39-4fc3-9abd-169fba29ac95,2834,2143,2862,2156
16,Pes Rotundus,m-2d89eace-46e9-4869-9867-a24faae085a8,3080,2098,3156,2163
