id,cantus_url,manifest_url,plugins
127,http://cantus.uwaterloo.ca/source/123717,http://www.e-codices.unifr.ch/metadata/iiif/csg-0390/manifest.json,"neume-search"
133,http://cantus.uwaterloo.ca/source/123723,https://images.simssa.ca/iiif/manuscripts/cdn-hsmu-m2149l4/manifest.json,"neume-search,pitch-search"
128,http://cantus.uwaterloo.ca/source/123718,http://www.e-codices.unifr.ch/metadata/iiif/csg-0391/manifest.json,
38,http://cantus.uwaterloo.ca/source/123628,http://gallica.bnf.fr/iiif/ark:/12148/btv1b6000531z.r/manifest.json,
